"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 22 13:19:24 UTC 2026","Mon Jun 22 13:19:25 UTC 2026","851","tests.ui.page_tests","test_category_add","TestCategoryAdd","","","test_user_category_add[chromium-admin_user]","Admin and editor users can add category on category add page"
"passed","Mon Jun 22 13:19:55 UTC 2026","Mon Jun 22 13:19:56 UTC 2026","1147","tests.ui.e2e_tests","test_reading_news_flow","TestReadingNews","","","test_reading_news[chromium-regular_user]","Any user can go through flow:
            - Home page
            - Category page
            - Category news page
            - News detail page
            - News
            - News detail page"
"passed","Mon Jun 22 13:18:14 UTC 2026","Mon Jun 22 13:18:14 UTC 2026","451","tests.api","test_auth","TestAuth","","","test_delete_user_permision[editor_session-403-True]","Only admin has permission to delete users"
"passed","Mon Jun 22 13:19:04 UTC 2026","Mon Jun 22 13:19:05 UTC 2026","754","tests.ui.page_tests","test_news_add","TestNewsAdd","","","test_news_add_page[chromium-editor_user]","Any user can see category page"
"passed","Mon Jun 22 13:18:34 UTC 2026","Mon Jun 22 13:18:34 UTC 2026","7","tests.api","test_news","TestNews","","","test_get_news[unauthenticated_session]","Any user can get news"
"passed","Mon Jun 22 13:19:53 UTC 2026","Mon Jun 22 13:19:54 UTC 2026","720","tests.ui.e2e_tests","test_creation_news_flow","TestCreationNews","","","test_creation_news[chromium-admin_user]","Editor and admin users can go through flow:
            - Home
            - Add news"
"passed","Mon Jun 22 13:19:39 UTC 2026","Mon Jun 22 13:19:40 UTC 2026","588","tests.ui.page_tests","test_login","TestLogin","","","test_user_login[chromium-regular_user-True]","Only registered user can log-in through UI"
"passed","Mon Jun 22 13:19:57 UTC 2026","Mon Jun 22 13:19:58 UTC 2026","1088","tests.ui.e2e_tests","test_reading_news_flow","TestReadingNews","","","test_reading_news[chromium-admin_user]","Any user can go through flow:
            - Home page
            - Category page
            - Category news page
            - News detail page
            - News
            - News detail page"
"passed","Mon Jun 22 13:18:26 UTC 2026","Mon Jun 22 13:18:26 UTC 2026","92","tests.api","test_categories","TestCategories","","","test_create_category[unauthenticated_session-403-Unathenticated user shouldn't have access to create category]","Only Admin and Editor users can create category"
"passed","Mon Jun 22 13:19:30 UTC 2026","Mon Jun 22 13:19:31 UTC 2026","761","tests.ui.page_tests","test_news_detail","TestNewsDetail","","","test_news_detail_page[chromium-regular_user]","Any user can see category page"
